"rule_id,archetype,condition_type,condition_value,recommended_category,priority,template_message"
"R1,Ambitious_Thinker,profession,Software Engineer,career,5,""You are in a phase where focused effort on deep work can pay off. Protect your calendar and say no to low value tasks."""
"R2,Ambitious_Thinker,risk_appetite,High,career,4,""Your appetite for calculated risk is an asset. Explore one bold move in the next 30 days rather than many small scattered ones."""
"R3,Balanced_Caretaker,personality_type,Nurturer,relationships,5,""Your strength is providing emotional support. Make sure you also schedule one small ritual each week just for your own recharge."""
"R4,Health_Rebuilder,event_type,Health_Concern,health,5,""Recent health signals are a nudge to reset your routines. Start with one sustainable habit around sleep, movement, or food."""
"R5,Stressed_Professional,event_type,Work_Stress,health,4,""High work pressure is not permanent but ignoring it can be costly. Block 15 minutes daily to decompress and review priorities."""
"R6,Explorer_On_Edge,personality_type,Dreamer,life_direction,4,""You thrive when you have inspiring goals. Write down three options you are considering and evaluate them on meaning, money, and learning."""
"R7,Money_Replanner,event_type,Financial_Decision,financial,4,""Important money choices are around you. List your top two long term goals and check if this decision supports at least one of them."""
"R8,Connection_Seeker,event_type,Social_Isolation,relationships,4,""You seem to be in a phase with fewer close connections. Intentionally reach out to one person each week for a real conversation."""
"R9,Growth_Leader,event_type,Career_Opportunity,career,5,""You have a concrete growth window. Clarify what success looks like in this opportunity and what support you need to get there."""
"R10,Overloaded_Giver,event_type,Family_Responsibility,health,3,""You carry many responsibilities. Build a small backup circle so support does not rest only on your shoulders."""
"R11,Uncertain_Path,event_type,Life_Direction_Doubt,life_direction,5,""Confusion about direction often means you are ready for a new chapter. Journal about what you want to move away from and what you want more of."""